Person Name,VIAF ID,Aliases
Madam Montmorency,,Madam Montmorency
Joos de Momper,8184591,Mumper
Mary Astell,8192151,Mary Astell
John Percival,8199472,John Percival
James Graham,8282870,James Graham
Johann August Hugo,8446526,Johann August Hugo; Dr. Hugo
John Welin,8461797,John Welin
Samuel Klingenstierna,8493468,Samuel Klingenstierna
Richard Bradley,8583674,Mr Bradley; Richard Bradley
Capt. John Wood,8599154,Capt. Wood
Myles Davies,8814941,Myles Davies
Benito Portuga,8928748,Benito de Moura Portuga
Richard Foley,9324349,Richard Foley
Robert Richardson,9720045,Robert Richardson
John Roebuck,9722692,John Roebuck
Robert Shirley,9787916,Robert Shirley
Henry Jones,9798235,Henry Jones
Henning Adolf Gyllenborg,9827268,Henning Adolf Gyllenborg
Nathaniel Matthew Wolf,9837888,Nathaniel Matthew Wolf
Gottfrie Leibniz,9849392,Gottfried Wilhelm Leibniz; Gottfried Wilhelm von Leibniz; Gothofredus Gulielmus Leibnitius
William Jones,9856920,William Jones
Erik Benzelius,9857012,Eric Benzelius; Ericus Benzelius
Michael Maittaire,9865630,Michael Maittaire
Pierre Monnier,9877713,Pierre Charles Le Monnier
Daniel Gabriel Fahrenheit,9887952,Daniel Gabriel Fahrenheit; Daniele Gabr. Fahrenheit
Christian Huygens,9894043,Christian Huygens; Christian Huyghens
John Keill,9926861,Joannis Keill; John Keill
John Denham,9928566,John Denham
John Whitehurst,9965263,John Whitehurst
Jean Jallabert,9970490,Jean Jallabert
Louis Nivernois,9979313,Louis Jules Barbon Mancini Mazarini Nivernois
John Christopher Pepusch,10034259,John Christopher Pepusch
Richard Wall,10078948,Richard Wall
Giovanni Carafa,10151542,Giovanni Carafa
Peter Barwick,10185310,Peter Barwick
Stefano Lorenzini,10188460,Stephano Lorenzini Fiorentino; Stefano Lorenzini
Frank Nicholls,10188879,Frank Nicholls
Levinus Vincent,10198482,Levinus Vincent
Johann Friedrich Weidler,10199025,Johann Friedrich Weidler
John Strange,10211770,John Strange
James Arderne,10237226,James Arderne
Johann Benjamin Fischer,10584218,Johann Benjamin Fischer
John Landen,10627197,John Landen
Alexander Garden,10629468,Alexander Garden
David Herrliberger,10640462,David Herrliberger
Daniel Finch,10658053,Daniel Finch
Charles Montigny,10760478,Charles Daniel Trudaine De Montigny
Charles Le Gobien,10763721,Father Le Gobien; Charles Le Gobien
William Cockburn,10782288,William Cockburn
Henry Paman,10908780,Henry Paman
George Martine,10990268,George Martine
Thomas Tanner,11058091,Thomas Tanner
John Winthrop,11132722,Mr Winthorp; Mr Winthorpe; Mr Wynthorp; Mr. Winthorp; Winthorpe; John Winthrop; Winthrop Esqr; Mr. Winthorpe; Mr. Wynthorp
Hugh Speke,11260511,Hugh Speke
Nathan Alcock,11266459,Nathan Alcock
Josiah Hort,11267514,Josiah Hort
Charles Dodgson,11311615,Charles Dodgson
Richard Towne,11377079,Richard Towne
John Armstrong,11399968,John Armstrong
Ralph Bathurst,11462035,Ralph Bathurst
Ashton Lever,12179247,Ashton Lever
John James Majendie,12179846,John James Majendie
John Lowther,12249427,John Lowther
Michelangelo Tilli,12298108,Michelangelo Tilli; Michaelangelo Tilli
Francois Gabriel Coyer,12306898,Francois Gabriel Coyer
Benjamin Kennicott,12343831,Benjamin Kennicott
Philippe Hire,12346702,Philippe de la Hire; PH. De la Hire
Eustachio Zanotti,12355548,Eustachio Zanotti
Jean Hellot,12377413,Jean Hellot
Joseph Glanvill,12396611,Joseph Glanvill
Louis Bertrand Castel,12405220,Louis-Bertrand Castel; Louis Bertrand Castel
Joseph Ames,12411440,Joseph Ames
Richard Cromwell,12416181,Richardus Cromwell; Richardus (Cromwell q.v.) Protector
John Mills,12427288,John Mills
Johannes van Musschenbroek,281220600,Mr. Musschenbroock
John Pringle,12476776,John Pringle
Gerard Meerman,12545856,Gerard Meerman
Jan van-Huysum,12577068,Husum
Thomas Gresham,12619430,Sr. Thomas Gresham; Sr. Thomas Greshams
Thomas Neale,12646823,Thomas Neale
Walter Pope,12647423,Walter Pope
Francis Roberts,12650271,Francis Robartes; Francis Roberts
Henry Powle,12651892,Henry Powle
Aylett Sammes,12652091,Aylett Sammes
Pope Clement XII,,Clemens XII; Pope Clement XII
Pope Alexander VIII,,Alexander VIII; Pope Alexander VIII
Patience Ward,12652275,Patience Ward
Charles Deering,12676360,Charles Deering
Lewis Crusius,12677948,Lewis Crusius
James Six,12735772,James Six
Ferdinandus Jacobus Baierus,13047713,Ferdinandus Jacobus Baierus; Ferdinandat Jacobor Baiero
George Edwards,13086266,George Edwards; Mr Geo. Edwards; Mr. Geo Edwards; Mr. Geo. Edwards; Mr Geo Edwards; Mr. Edwards
Christian Mayer,13087412,Christian Mayer
John Huxham,13087514,John Huxham
Peter Collinson,13091055,Peter Collinson; Mr Collinson; Mr. Collinson
Percivall Pott,13091713,Percivall Pott
Georg Joseph Kamel,13101068,Georg Joseph Camel; Georg Joseph Kamel; George Camelli
Henry Newman,13116531,Henry Newman; Mr. Newman
John Finch,13116680,John Finch
Charles Mason,13120553,Charles Mason
Charles Boyle,13226576,Charles Boyle
Giovanni Battista Beccaria,13251888,Giovanni Battista Beccaria
Margaret Flamsteed,13471767,Margaret Flamsteed
John Pinfold,,Mr Pinfold; Mr. Pinfold
Nicholas Saunderson,13520055,Nicholas Saunderson
Arthur Pond,13697267,Arthur Pond
Henry Owen,13738984,Henry Owen
Philip Stanhope,13752267,Philip Stanhope
William Courten,13790434,Mr Courten; William Courten; Sr. Wm. Courtens; Mr. Courten; Mr. Courtens
George Tollet,14600129,George Tollet
Dr John Harwood,14609907,Dr Harwood; Dr. Harwood; John Harwood
James Watson,14611974,James Watson
John Chandler,14625511,John Chandler
