Person Name,VIAF ID,Aliases
Louis Monnier,61631727,Louis Guillaume Le Monnier
Robert Simson,61632691,Robert Simson; Rob. Simson
John Howard,61639520,John Howard
John Evelyn,61653698,John Evelyn
Walter Churchman,,Walter Churchman; Mr. Churchmans
Colin MacLaurin,61658346,Colin MacLaurin; Colin Maclaurin
Edmund Dickenson,61680485,Edmund Dickenson
Guillaume Mazeas,61680714,Guillaume Mazeas
Octavien de Guasco,61680854,Octavien de Guasco
Antonio Cocchi,61718005,Antonio Cocchi
John Adair,61851199,John Adair
Henri Justel,61878550,Henry Justel; Monsieur Justel; Henri Justel
John Pettus,61896914,John Pettus
Robert Spencer,61897120,Robert Spencer
William Sheridan,61902735,William Sheridan
Edward Strother,61946799,Edward Strother
Giovanni Battista Pacichelli,62281095,Giovanni Battista Pacichelli
Frederick Louis,62384797,Frederick Louis
Adam Gottlob Moltke,62459071,Adam Gottlob Moltke
James Douglas,62459314,James Douglas
John Freke,62632664,John Freke; Mr. Freke surgeon
John Wilkes,62815192,John Wilkes
Thomas Dickson,62978839,Thomas Dickson
Roger Gale,62981706,Mr Gale; Mr. Gale; Roger Gale
David Ershine,63860569,David Ershine
George Henry Hay,63869202,George Henry Hay
Richard Hooker,7476431,Richard Hooker; Hooker
John Ives,63873133,John Ives; Mr. Ives
Antoine de Guiscard,63879695,Antoine de Guiscard
Daniel Molyneux,63881065,Daniel Molyneux
Jacob Rodrigue Pereira,64033095,Jacob Rodrigue Pereira
John Walker,64033445,John Walker
Sir David Hamilton,64050764,Sir David Hamilton; Sr. David Hamilton; Dr. Hamilton; David Hamilton
William Withering,64052541,William Withering
Consul Baker,64056035,Consul Baker
Jean Joseph Sue,64060593,Jean Joseph Sue
Simon Ockley,64064786,Simon Ockley
Thomas Tyrwhitt,64078815,Thomas Tyrwhitt
Sarah Churchill,64084319,Sarah Churchill
John Stevens,64096404,John Stevens
Nicola Francesco Haym,64111621,Nicola Francesco Haym
John Flamsteed,64164356,John Flamsted; John Flamsteed
John Jebb,64250039,John Jebb
Thomas Salmon,64251536,Thomas Salmon; Tho. Salmon
Johann Friedrich Leopold,64307701,Johann Friedrich Leopold
John Fothergill,64309053,John Fothergill
Lord Pembroke,64332676,Lord Pembroke; Lo Pembroke; Thomas Herbert
James Keill,64347162,James Keill
George Berkeley,64351720,George Berkeley
Thomas Simpson,64360467,Thomas Simpson
Archibald Patoun,64388002,Archibald Patoun
Charles Yorke,64437946,Charles Yorke
Christopher Morley,64440086,Christopher Morley
Abraham Bennet,64788247,Abraham Bennet
Casper Neumann,64802676,Caspar Needham; Casper Neumann
George Lewis Scott,64862916,George Lewis Scott
Johann Jacob Huber,64877830,Johann Jacob Huber
Archibald Campbell,64945461,Archibald Campbell
Patrick Dun,65455693,Patrick Dun
John Bemde,65538308,John Van de Bemde
James Eyre,65546849,James Eyre
Francis Blake,66324368,Francis Blake
John Lodge Cowley,66325490,John Lodge Cowley
Anthony Shepherd,66343824,Anthony Shepherd
William Hammond,66354735,William Hammond
William Capell,66369244,William Capel; William Capell
Johann Allamand,66377611,Johann Nicholaus Sebastian Allamand
Roger Cotes,66437456,Roger Cotes; Rogero Cotes
Giuseppe Toaldo,66457881,Giuseppe Toaldo
Achjour,66458495,Achille Pierre Dionis du Sejour
Matthias Belius,66482984,Matthias Belius
Richard Baker,66493308,Sr. Richard Baker
Govard Bidloo,66508616,Govard Bidloo
Paul Jacques Malouin,66526924,Paul Jacques Malouin
Caspar Bartholin,66581681,Cafpari Bartholini; Caspar Bartholin
Jean Malves,66768502,Jean Paul de Gua de Malves
Johann Gabriel Doppelmayer,66768616,Johann Gabriel Doppelmayer
Godwin Lewis,,Godwin Lewis
Giovanni Maria Lancisi,66774462,Giovanni Maria Lancisi; Jean Marie Lancisi; Giovanni Maria LAncisi
Israel Mauduit,66798595,Israel Mauduit
John Dolben,66813114,John Dolben
William Payne,66813146,William Payne; Wm. Paine
Benjamin Woodroffe,66813704,Benjamin Woodroffe
Simon Degge,66816439,Simon Degge
Abryme,66838087,Abraham De la Pryme; Mr. de La Pryme
Millar,66847051,Millar
Robert Nesbitt,66871536,Robert Nesbitt
Domenico Silvio Passionei,67207119,Domenico Silvio Passionei
Thomas Savery,67247678,Thomas Savery
Sigismund Ehrenreich Redern,67249408,Sigismund Ehrenreich Redern
Job Baster,67250859,Dr. Baster; Job Baster
Herange,67257928,Henry Frederic prince of Orange
Andreas Celsius,67259216,And. Celsium; Andreas Celsius
Lord Charles Cavendish,67276270,Lord Charles Cavendish
Johann Heinrich Linck,67311337,Johann Heinrich Linck
Henry Somerset,67366844,Henry Somerset
Johann Hedwig,67580194,Johann Hedwig
Matthias Mangold,67686920,Dr Matthias Mangold; Matthias Mangoldt
Charles Hotham,67884544,Charles Hotham
Edward Bysshe,67889605,Edward Bysshe
Lawrence Rooke,67927802,Lawrence Rooke
William Burton,67932959,William Burton
William Trumbull,68099570,William Trumbull
Mr Villarmont,68318896,Mr. Villarmont; Esprit Cabart de Villermont
Mr Benjamin Mott,68569809,Mr Benjamin Mott; Mr. Benjamin Mott
William Benson Earle,68837170,William Benson Earle
Richard Saunders,68864064,Richard Huck-Saunders
Johann Borkman Leyonbergh,68907337,Johann Borkman Leyonbergh
William Sherard,68918647,Dr Sherard; Dr. Sherard; William Sherard
John Ward,68920199,John Ward
Georg Franck Franckenau,68923532,Georg Franck-von- Franckenau
William Pulteney,68924186,William Pulteney
Ludovico Antonio Muratori,68933348,Ludovico Antonio Muratori
Jean Picard,68937663,Jean-Félix Picard; M. Picart
John Dryden,68937979,John Dryden
Thomas Burman,68938902,T. Burnetio; Thomas Burman
Francesco Algarotti,68955699,Francesco Algarotti
Giambattista Morgagni,68968590,Giambattista Morgagni
Matthew Prior,68976517,Matthew Prior
George Holmes,69045071,George Holmes
William Stukely,69060428,Dr. Stukely; William Stukely; Wm. Stukely
William Cowper2,1562998,Wm. Lord Cowper; William Cowper
Earl of Essex,69085081,Earl of Essex
George Stepney,69144805,George Stepney
Robert Moray,69213708,Mr. Moray; Robert Moray; Sr . Rob. Moray
Philip Stubbs,69218622,Philip Stubbs; Philip Stubs
Abel Jansen Tasman,69227566,Abel Jansen Tasman; Abel Janszoon Tasman
Jeyer,69269241,Jean Baptiste Nicolas Boyer
Archibald Adams,69271021,Archibald Adams
Johann Ernst Galliard,17414384,Mr Galliard; Mr. Galliard
Malachi Thruston,69278641,Malachi Thruston
Adam Martindale,69281595,Adam Martindale
Mr Ott,69289986,Mr Ott
Daniel Ernst Jablonski,69661324,Daniel Ernest Jablonski; Daniel Ernst Jablonski
Jeremiah Dixon,69741796,Jeremiah Dixon
Thomas Healde,69821380,Thomas Healde
Peter King,70060010,Peter King
Richard Sackville,70314248,Richard Sackville
Peter Livius,70948335,Peter Livius
James Nasmyth,71238650,James Nasmyth
Paul Chamberlen,71245595,Paul Chamberlen
Wilkinson Blanshard,71248316,Wilkinson Blanshard
Richard Jebb,71258475,Richard Jebb
Michael Tyson,71267294,Michael Tyson
Conrad Joachim Sprengell,71272966,Conrad Joachim Sprengell
John Aubrey,71386625,John Aubrey
Edmond Halley,71400665,Edmond Halley; Edmund Halley
Johann Reinhold Forster,71405428,Johann Reinhold Forster
George Bate,71422092,George Bate
Sebastiano Conca,71427941,Sebastiano Conca
William Byrd,71428126,Mr. Byrd; William Byrd
Jean Baptiste Bernard,71444787,Jean Baptiste Bernard
Jean Andre Peyssonel,71501826,Jean Andre Peyssonel
Theodor Kerckring,71525436,Theodor Kerckring
Jean de Hautefeuille,71525470,Jean de Hautefeuille
Abraham de Moivre,71525671,Abraham de Moivre; D. Ab. de Moivre
Cassini Thury,71663104,César-François Cassini de Thury
Mårten Triewald,71677965,Mårten Triewald; Martin Triewald
Louis Nauze,71707317,Louis Jouard de La Nauze
Antonio Cunha,71732507,Antonio Alvares da Cunha
George Harbin,71748764,George Harbin
Dr Clifton,71767065,Dr Clifton
Antonio Benevoli,71784686,Antonio Benevoli
John Ellicott,71788996,John Ellicott
Christian Ludwig Gersten,72149370,Christian Ludwig Gersten
William Cumberland Cruikshank,72153215,William Cumberland Cruikshank
Antonio Matani,72174450,Antonio Matani
Giovanni Francesco Cigna,72177691,Giovanni Francesco Cigna
John Lightfoot,72195395,John Lightfoot
Nehemiah Grew,72195733,Dr Grew; Dr. Grew; Dr. Grews
Adam Leyel,72231494,Adam Leyel; Adami Leyel
Thomas Goodwin,72244287,Thomas Goodwin
Joshua Barnes,72322616,Joshua Barnes
John Peter Stehelin,72335392,John Peter Stehelin
Regeot,72336121,René-Jacques Croissant de Garengeot; Rene Jacques Croissant de Garangeot
John Kempe,72605595,John Kempe; Kemp; Mr. Kemp
Thomas Milles,72796340,Thomas Milles
Robert Uvedale,72798988,Robert Uvedale; Uvedale
James Yonge,72809851,James Yonge
Isaac Hawkins Browne,72821540,Isaac Hawkins Browne
Benedict Leonard Calvert,72940497,Benedict Leonard Calvert
Molyneux Shuldham,72998674,Molyneux Shuldham
Robert Atkyns,73003668,Robert Atkyns
John Hollings,73293147,John Hollings
Bennet Sherard,73686525,Bennet Sherard
Philip Barton,73707753,Philip Barton
Edward Lovell,73726704,Edward Lovell
William George Richard Stanley,73754435,William George Richard Stanley
Tycho Brahe,73850627,Tycho Brahe
Francesco Maria Zannotti,73862946,Francesco Maria Zannotti
Dr Edward Harwood,73863243,Dr Harwood; Dr. Harwood; Edward Harwood
Giorgio Baglivi,73880424,Giorgio Baglivi
Antonio Maria Salvini,73882975,Antonio Maria Salvini
John Swinton,73887240,John Swinton
Benjamin Robins,73887860,Benjamin Robins
Brook Taylor,73921270,Brook Taylor
Francois David Herissant,73937092,Francois David Herissant
Pier Antonio Micheli,73949559,Pier Antonio Micheli
Joseph Moxon,73999643,Joseph Moxon
William Constable,74070931,William Constable
Sr Godfrey Kneller,74127041,Sr Godfrey Kneller; Kneller
Thomas Dover,74191407,Thomas Dover
Thomas Robie,74288470,Thomas Robie
Richard Warren,74621849,Richard Warren
Christian Maximilian Spener,74631738,Christian Maximilian Spener; Maximiliano Spener
Arthur Annesley,74638660,Arthur Annesley
Gustavus Helmfeld,74936590,Gustavus Helmfeld
Joseph Ayloffe,74946016,Joseph Ayloffe
John Moore,75019443,John Moore
Duke of Grafton,75221571,Duke of Grafton; Duke of Graffton
Paul Lorrain,75227000,Paul Lorrain
Charles Sloane Cadogan,75257835,Mr. Cadogan
Henry Hare,75294555,Henry Hare
Charles Seymour,75309518,Charles Seymour
Samuel Hill,75387277,Samuel Hill
Richardr.,75874978,Richard Morton Jr.
Charles Erskine,75875441,Charles Erskine
Owen Lloyd,76179965,Owen Lloyd
Thomas Osborne,76182294,Thomas Osborne
John Lindsay,76187752,John Lindsay
George Markham,76188716,George Markham
Edward Nourse,76189754,Edward Nourse
Thomas Pocock,76190130,Thomas Pocock
William Stephens,76191451,William Stephens
John Cutler,76268464,John Cutler
Philibert Collet,76305282,Philibert Collet
Andrew Coltee Ducarel,76305945,Andrew Coltee Ducarel
William Petty,76377872,William Petty
Francis Willughby,76431571,Francis Willughby; Mr. Wiliugby
Marco Foscarini,76438550,Marco Foscarini
James King,76445261,James King
Johann Burchard Menkenius,76466492,Johann Burchard Menkenius
Charles Howard,76469410,Charles Howard
William Roy,76619080,William Roy
Robert Ainsworth,76653963,Robert Ainsworth
Robert Plot,76658346,Robert Plot; Rob. Plot
Ralph Willett,76748049,Ralph Willett
Balthasar Ehrhart,77066472,Balthasar Ehrhart
William Brouncker,77098447,William Brouncker; Viscount Brouncker
Antonio Leprotti,77098577,Antonio Leprotti
Salomon Reisel,77116243,Salomon Reisel
Johann Philipp Breyne,77116695,Dr. Breynius; Joannis Philippi Breynii; Johann Philipp Breyne; Johannes Philippus Breynius
James Ogilvy,77383464,James Ogilvy
Abram Vandenhoeck,77415750,Abram Vandenhoeck
William Waller,77679181,William Waller
Jamara,77682222,James O'Hara
Charles Morton,77684209,Charles Morton; Dr. Morton
Anthony Tissington,77719871,Anthony Tissington
Thomas Baker,77756444,Thomas Baker
Henry Sampson,77800420,Hen. Sampson; Henry Sampson
Ferdinand Albert,78622585,Ferdinand Albert
Johngh,78650313,John Smith De Burgh
James Justice,78651125,James Justice
Joseph Rogers,78653459,Joseph Rogers
George Carpenter,78673394,George Carpenter
Francis Hastings,78690895,Francis Hastings
Richard Blackmore,78786095,Richard Blackmore
Thomas Lediard,78811334,Thomas Lediard
Henry Grey,78993713,Henry Grey
John Purcell,79012766,John Purcell
Thomas Bayes,79087234,Thomas Bayes
Michael Le Vassor,79124355,Michael Le Vassor
Thomas Morell,79159546,Thomas Morell
William Wales,79174737,William Wales
Hilliard,79202769,Hilliard
Bryan Edwards,79205127,Bryan Edwards
William Musgrave Jr.,79251462,William Musgrave; William Musgrave Jr.
Samuel Parker,79251518,Samuel Parker
James Hawley,79260992,James Hawley
James Bradley,79392926,James Bradley
August Sigmund Frobenius,80419210,August Sigmund Frobenius; Joannes Sigismundus Augustus Frobenius
Philip Joseph Kinski,81885515,Philip Joseph Kinski
Claude Marie Guyon,81906694,Claude Marie Guyon
Doctor Dobrzenski,83693449,Doctor Dobrzenski; Jacobus Johannes Wenceslaus Dobrzensky; Jacbrzensky
Queen Katherine,84378729,Queen Katherine
Francisco Redi,84814826,Francisco Redi
Justus Johann Torkos,84817588,Justus Johann Torkos
William Pitcairn,84818534,William Pitcairn
Ralph Verney,86374335,Ralph Verney
Thomas Thynne,86387382,Thomas Thynne
Michael Burghers,86927622,Michael Burghers
Mr. Greenhill,87582164,Mr. Greenhill
Jean Anisson,87639971,Jean Anisson
Charles Trimnell,88038776,Charles Trimnell
George Cheyne,88056977,Dr Cheyne; Dr. Cheyne; George Cheyne
John Harris,88068054,John Harris
Jeaelle,88128935,Jean Baptiste de la Chapelle
Navarette,100177692,Domingo Navarette; Navarette
Thomas Fane,88462278,Thomas Fane
John Hoskins,88495229,John Hoskins
Gijsbert Cuper,88684229,Gijsbert Cuper
Marco Antonio Cellio,88700153,Marco Antonio Cellio
Edward Browne,88813424,Edward Brown; Edward Browne; E. B.
Abraham Cyprianus,88839524,Abraham Cyprianus; Dr Cyprianus; Dr. Cyprianus
Giovanni Crivelli,88857565,Giovanni Crivelli
Phin,88888319,Phillip 2nd of Spain
Ewald Friedrich Herzberg,88892951,Ewald Friedrich Herzberg
King James,88905668,King James; James I; James; King James I; K. James; K. James I; King James the first
Charles I,67750325,Charles I; Charles; Charles 1; K. Charles; K. Charles the first; K. Charles I; K. Ch. 1st; King Charles; King Charles the first
Charles II,88984774,Charles II; Charles 2d; Charles 2; K. Charles 2; K. Charles 2d; K. Ch. 2d; King Charles 2d; King Charles the Second
Giacomo Grandi,88987908,Giacomo Grandi; Jacobus Grandi; Jacomo Grandi
Adrian Beverland,89009260,Adrian Beverland; Mr Beverland; Mr. Beverland
Eustachio de divinis,89010402,Eustachio de divinis
Cardinal Gualtieri,89105442,Card. Gualtieri; Cardinal Gualtieri; Cardinal Gualtieri's; Cardinal Gualtieris; Cardinall Gualteris; Cardinall Gualtieris; Cardinall Gualtieri; Cardinall Gualtieri's; Card. Gualtieris
Antonio Nicolini,89318980,Antonio Nicolini
James Porter,89352673,James Porter
Guillaume Thomas Raynal,89354395,Guillaume Thomas Raynal
Jean Delagrive,89765469,Jean de la Grive; Jean Delagrive
Godfrey Copley,90497456,Godfrey Copley; Godffrey Copley
Edward Norris,90497528,Edward Norris
John Lucas,90770180,John Lucas
Philip Naude,90941241,Philip Naude
Richard Wright,91115259,Richard Wright
John Nicholls,91664246,John Nicholls
William Bateman,93125901,William Bateman
Charles Issac,93363329,Charles Issac
William Beeston,93583902,William Beeston
Edward Berkeley,93584593,Edw Berkeley; Edward Berkeley
Pierre Maupertuis,95152459,Pierre Louis Maupertuis; Pierre Louis Moreau de Maupertuis
Sr Theodore Mayern,95152542,Sr. Theodore Mayern
Rudolf Eric Raspe,95156657,Rudolf Eric Raspe
John Banks,95294215,John Banks
John Lind,95325712,John Lind
William Wynde,95732431,William Wynde
Thomas Robinson,95738623,Thomas Robinson
Jeremiah Taverner,95769577,Taverner
Isaac Oliver,6389157643216938590004,Olivar; Isaac Oliver
Abraham Simon,95831645,Abraham Symmonds; Abraham Symmeons
Princess Amalia,837905,Amalia; Amelia
Thomas Archer,95835805,Thomas Archer
Andr Hay,95845519,Andr Hay; Mr. And. Hay
John Belchier,96138145,John Belchier
John Pitt,96227101,John Pitt
Thomas Knowlton,96491971,Mr Knoulton; Mr. Knowlton; Thomas Knowlton
Juriaen Pool,96540498,Juriaen Pool
Thomas Simon,96593406,T. Simons; Tons; Tho. Simmons; Symmonds; Simons
George Jago,96798395,George Jago
Charlton Wollaston,96815532,Charlton Wollaston
Charles Hatton,96896929,Charles Hatton
James Fraser,96913428,James Fraser
Bernard Gascoigne,96913503,Bernard Gascoigne
Daniel Bernoulli,97164633,Daniel Bernoulli
Jius,98100996,Jo. Bapt. Ottius
Edward Smith,98223258,Edward Smith
Robert Walpole,98289961,Robert Walpole; Sr. Robert Walpoles; Sr. Robert Walpole
Gerhard van Swieten,98732271,Gerhard van Swieten
Thomas Dimsdale,98809541,Thomas Dimsdale
Simon Andre Tissot,98841872,Simon Andre Tissot
Pierre Coste,99336186,Pierre Coste
Antonio Galvao,99367617,Antonio Galvao
Edmund Castell,99544852,Edmund Castell
Bernard Fontenelle,99744686,Bernard Le Bovier de Fontenelle
Jacques Nicolas Bellin,99885687,Jacques Nicolas Bellin
John Magalhaens,100103055,John Hyacinth de Magalhaens
Dr. Mausafia,,Dr. Mausafia
Dr. Oliver,100167171,Dr. Oliver
Pierre Des Maizeaux,100174106,Peter Desmaizeaux; Pierre Des Maizeaux
Aniere,100174728,Antoine Augustin Bruzen de la Martiniere
Vitaliano Donati,100179866,Vitaliano Donati
Johann Bernhard Fischer,100183205,Johann Bernhard Fischer
Laurence Theodore Gronovius,100188133,Laurence Theodore Gronovius
David Durand,100188302,David Durand
Ulisse Aldrovandi,100190422,Aldrovandus; Ulisse Aldrovandi
John Ellis,100190716,John Ellis
Nicasius Le Febure,100199084,Nicasius Le Febure
Martin Lister,100199531,Martin Lister; Dr. Lister; Dr Lister
John Wallis,100212546,Johannis Wallis; John Wallis
John Hudson,100222314,John Hudson
Polidoro di Caravagio,100226865,Polidoro di Caravagio
William Briggs,100290798,Guil. Briggs; William Briggs
Denis Papin,100307263,Denis Papin; Dr. Papin
David Loggan,100329291,David Loggan; D. Loggan
John Hunter,100368494,John Hunter
Matthew Wren,100369167,Matthew Wren
Orlando Bridgeman,100369926,Orlando Bridgeman; Sr. Orlando Bridgman
Matthew Stewart,100370422,Matthew Stewart
Jento,100373787,Jacob de Castro-Sarmento
Joannes Henricus Hampe,100544816,Dr Hampe; Joannes Henricus Hampe; Dr. Hampe; Dr. Hamp
William Dugood,100570413,William Dugood
Bullen Reymes,100624484,Bullen Reymes
Earl Abercorn,100963417,Earl Abercorn; James Hamilton
John Dennis,100973436,John Dennis
John Morgan,101001270,John Morgan
Maurice Berkeley,101461637,Maurice Berkeley
Pasquier Quesnel,2479682,Pere Quenel
Peter Biron,102308168,Peter Biron
Petrus Filenius,102313829,Petrus Filenius
James Gibbs,102377186,James Gibbs
Mr Killegrew,,Kilegrew; Mr Killegrew; Mr. Killigrew
Gottfried Sellius,103105679,Godfrey Sellius; Gottfried Sellius
Gabriel Cramer,103194586,Gabriel Cramer
Joseph de Guignes,103209764,Joseph de Guignes
Robert Clavell,103251693,Robert Clavell
Peter Ball,103532239,Peter Ball
Nicola Cyrillo,103723261,Nicola Cyrillo
Mrs. Merian,106967757,Mrs. Merian; Mrs Merian; Merian
Matthew Gosset,507153596616951900007,Monsr Gosset; Monsr. Gosset; Matthew Gosset
Nicholas Wittsen,106969992,Nicholaes Corneliszoon Witsen; Nicholas Wittsen; Nicolaus Witsen
Ippolito Fornasari,107759071,Ippolito Fornasari
Thomas Colepeper,108111862,Thomas Colepeper
John Michell,109281572,John Michell
George Hadley,111198494,George Hadley
Andrew Fountaine,120202325,Andrew Fountaine; Sr Andrew Fountain; Sr. Andrew Fountain
Clayton Mordaunt Cracherode,120605471,Clayton Mordaunt Cracherode
Joannes Nicolaus Pechlin,120700490,Joannes Nicolaus Pechlin; Joh. Nicolaus Pechlinius
Louis Renard,120701914,Louis Renard
Robert South,120725861,Robert South
Benjamin Wilson,120777159,Benjamin Wilson
Frte,120784081,Francesco Maria d'Este
Antonio Mario Lorgna,120784243,Antonio Mario Lorgna
Frederick Slare,120836054,Dr. Slare; Fred. Slare; Frederick Slare
Bruno Tozzi,121709579,Bruno Tozzi
Pierre de Mellarede,121807519,Pierre de Mellarede
Hugh Howard,122066131,Hugh Howard
William Stanhope,136787000,William Stanhope
Barbara van Beck,5526159035171401380003,Barbara uxor Johannis Michael van Beck
Westby Gill,145331463,Westby Gill
Eleazar Albin,152001720,Eleazar Albin
John Rogers,155519451,John Rogers
George Brown,160170991,George Brown
Gio Bapt Verle,160344796,Gio Bapt Verle; Verle; Gio. Bapt. Verle
Daniel Pulteney,160476097,Daniel Pulteney
Samuel Scheurer,160490445,Samuel Scheurer
Edward Harley,160524259,Edward Harley
Robert Wood,160845120,Dr. Wood; Robert Wood
John Martin,161542773,J. Martyn; John Martin
Marco Coutinho,165749760,Marco Antonio de Azevado Coutinho
Edward Worth,167846391,Edward Worth
Joseph-Etienne Berthier,169094252,Joseph-Etienne Berthier
Antoine Fizes,171003193,Antoine Fizes; Mons. Fizes
Thomas Pellet,171490539,Thomas Pellet
Henry ye 8th,172419710,Henry ye 8th; Henry 8; Henry; K. Henry VIII; Henry the eight; Henry ye 8th's
Matthew Fetherstonhaugh,172537224,Matthew Fetherstonhaugh
Thomas Hewett,172856346,Thomas Hewett
John Macky,173082250,John Macky
James Dawkins,173507721,James Dawkins
Henry Hunt,174515068,Henry Hunt
Nicolaus de Himsel,178430789,Nicolaus de Himsel
Theophilus Lobb,179387045,Dr. Lobb; Theophilus Lobb
FrancisBuccleuch,180956489,Duke of Buclugh; Francis Scott; Duke of Buccleuch; Duke of Bucclengh
Francois Duquesnoy,71667283,Francois Duquesnoy; Francisco Fiamengo
John Carnac,186621146,John Carnac
Henry Lowther,189721157,Henry Lowther
Samuel Molyneux,198572397,Samuel Molyneux
Cardinall Gualtueris,199053905,Cardinall Gualtueris
James Greenwood,200075964,James Greenwood
Charles Sackville,210233935,Charles Sackville
Christian Friedrich Weichmann,212492791,Christian Frederick Weichman; Christian Friedrich Weichmann
King3,222931549,King William the 3rd; King William the 3d; Prince of Orange; King Wm.
LAut,224109980,Louis Marie Celeste d'Aumont
Henry Pelham,227730938,Henry Pelham
Charles Berkeley,231767384,Charles Berkeley
Daniel de Superville,232395833,Daniel de Superville
Peter Czernichew,232491387,Peter Czernichew
Allen Moulin,233165469,Allen Moulin
Thomas Grey,234705467,Thomas Grey
Franciscus Reynardson,234707403,Franciscus Reynardson
Gilbert Kennedy,235461864,Gilbert Kennedy
Johannes de Raey,237880884,Johanne de Raei; Johannes de Raey
William Soame,240465878,William Soame
Georgen,241568675,George PlaxtonÂ
Henry Miles,242837058,Henry Miles
George Kelly,243564429,George Kelly
Abraham Hill,245730896,Abraham Hill
Charles Douglas,246210075,Charles Douglas
Samuel Haliday,246212057,Samuel Haliday
John Kelsall,247246566,John Kelsall
Thomas Hoy,248203740,Thomas Hoy
Robert Areskine,250796979,Robert Areskine
Gilbert Knowles,250919692,Gilbert Knowles
Christopher Terne,255675899,Christopher Terne
Watkin Williams-Wynn,259809397,Watkin Williams-Wynn
Charles Feake,259857623,Charles Feake
William Harvey,261707238,Dr. Harvey; Dr. Harvy; William Harvey
George I,263401905,George I; King George ye 1st
Clopton Havers,264888804,Clopton Havers
Prince Rupert,266222116,Prince Rupert
Tankred Robinson,268706743,Dr. Robinson; Mr Robinson; Tankred Robinson
Tycho Hoffman,276018980,Tycho Hoffman
Philip Julius Borneman,278479781,Philip Julius Borneman
Anne Pierrepont,278824281,Anne Pierrepont
Patrick Adair,279541491,Dr Adair; Dr. Adair; Patrick Adair
John Ligonier,279985506,John Ligonier
Hugh8,281438691,Hugh Chamberlen Jr.
Michel Fourmont,281758280,Michel Fourmont
John Lawry,282003452,John Lawry
Joent,282051040,John Van Brugh Tennent
Pierre Silvestre,282879892,Dr Silvestre; Dr. Silvestre; Dr Sylvestre; Dr. Sylvestre; Peter Silvestre; P. Silvestre; Pierre Silvestre
Emanuel Timonius,284420686,Emanuel Timonius; Emanuele Timone
Patrick Blair,286211863,Patrick Blair
Johann Christoph Volkamer,287291307,I. G. Volckamero; Johann Christoph Volkamer
John Albert Bentinck,288184597,John Albert Bentinck
John Hope,288372064,John Hope
Charles Dubois,288680395,Charles Du Bois; Charles Dubois
Jezreel Jones,288737265,Jezreel Jones
David Krieg,289291613,David Krieg; Dr Krieg; Dr. Krieg
Paolo Antonio Rolli,95205638,Paolo Antonio Rolli
Paul  Neile,289438307,Paul Neile
Ludovicus de Neufville,289879940,Ludovicus de Neufville
George Scott,291586216,George Scott
Sleton,291810542,Sr. Thomas Lyttleton
James Darcy,291961291,James Darcy
George Edgcumbe,292367721,George Edgcumbe
Thomas Percival,293333063,Thomas Percival
Richard Bulkeley,294445798,Richard Bulkeley; Richard Bulkley
George Cowper,296028686,George Nassau Clavering Cowper
John Vaughan,296351773,John Vaughan
Thomas Blackburne,297743028,Thomas Blackburne
D. Anthelm,299934989,Anthelme; D. Anthelm
Andreas Henry Cronhelm,302804192,Andreas Henry de Cronhelm
Pietro Grimani,304010538,Pietro Grimani
Giacomo Pylarini,304917391,Giacomo Pylarini; Jacobum Pylarinum
Henry Bond Senior,304947898,Henry Bond; Henry Bond Senior
Joseph Morland,305118711,Joseph Morland
Edward Hody,306071895,Edward Hody
James Spilman,306107782,James Spilman
Randolph Ford,306130448,Randolph Ford
John Bethune,306130801,John Bethune
Salusbury Cade,309593637,Salusbury Cade
HenrySr.,309613770,Henry Barham; Henry Barham Sr.; Mr Barham; Mr. Barham
Esay Ward,310627750,Esay Ward
Walter Douglas,310665411,Walter Douglas
Philip Rose,310665793,Philip Rose; Dr. Rose
Fulke-Rose,,Dr. Rose
Henrietta Howard,311067558,Henrietta Howard
Thomas Stack,311193035,Dr Stack; Dr. Stack; Drack
Du Bosse,,Du Bosse
Duke of Monmouth,35251748,Duke of Monmouth; Duke
Laurent Garcin,311193216,Laurent Garcin
Edward Tenison,315534549,Edward Tenison
John Perceval,315654880,John Perceval
Henry Pierrepont,315660436,Henry Pierrepont
Francis Annesley,315660542,Francis Annesley
Thomas Southwell,315662153,Thomas Southwell
Giorgione,316400216,Georgioni
Mary Duchess of Ancaster,316448538,Mary Duchess of Ancaster
Francesco Aquino,316736531,Francesco d' Aquino
Daniel Colwall,316801251,Daniel Colwall
William Bridgeman,317285061,William Bridgeman
George Duke Albemarle,12145857787923021175,George Duke of Albemarle; George Monck
George Tilson,12146522335832390026,George Tilson
Jean Locmaria,43148933738654302743,Jean Marie Francois du Parc Locmaria
John Cecil 5th Earl of Exeter,33082607,John Cecil; Lord Exeter
Robert Keck,43150030724010962913,Robert Keck
Francis Aston,47145003641961340275,Francis Aston; Mr Aston; Mr. Aston
Jacobus Sylvius,47148207839200342239,Jacobus Sylvius
Servington Savery,67147905333279092795,Servington Savery
Filippo Venuti,96145857790523020035,Filippo Venuti
Lorenz Heister,143145857836223020026,Lawrence Heister; Lorenz Heister
Francesco Cornaro,224145542839596642372,Francesco Cornaro; Sr. Cornario
Henrietta Pelham-Holles,259152744508927850007,Henrietta Pelham-Holles
Robert Houston,299149294141680521071,Robert Houston; Dr Houston; Dr. Houston; Mr. Houston
William Hanbury,333145857954723021375,Willm. Hanbury Esqr; WEsqr; Willm. Hanbury Esqr
Major John Hanbury,66254256,Major John Hanbury
